set	chromosome	valid	linkage.map.length	linkage.map.length.correctedCh	linkage.map.length.correctedHW	phys.map.length	nb.markers	density.markers.cM	density.markers.bp	marker.interval.cM	largest.gap.cM	marker.interval.bp	chrwide.rate	map.coverage	rejected.rate	mean.recrate	median.recrate	sd.recrate	max	cv.recrate	gini	span	species	centromeric_index	peripherybias_ratio	peripherybias_mode	brokenstick_pvariance	genecount	centromere_position_estimated	centromeric_index_position_oriented
Arachis_duranensis_Bertioli2016	A4	TRUE	71.1	73.8882352941176	73.7705882352941	121572898	52	0.731364275668073	4.27726909989429e-07	1.33529411764706	14	2367202.80392157	0.606801264499709	0.768396530155047	0	0.611501972231333	0.0975871820468181	1.20273444708518	4.89886862392214	1.96685293212788	0.79262989194649	0.35	Arachis duranensis	NA	5.45317560188581	1	0.066067868255415	4509	12.8940952424242	NA
Arachis_duranensis_Bertioli2016	A5	TRUE	138.1	142.862068965517	142.841379310345	109140368	59	0.427226647356988	5.40588245038719e-07	2.37068965517241	42.1	1870191.65517241	1.30878594169982	0.574484240781782	0.076271186440678	1.24971671656312	0.19413352015715	2.29372190624041	9.92449406822052	1.83539347424946	0.767547952411803	0.3	Arachis duranensis	NA	5.9869639412366	1	0.0273913060992172	4588	28.111912969697	NA
Arachis_duranensis_Bertioli2016	A7	TRUE	63.9	68.16	68.0733333333333	77954472	31	0.485133020344288	3.97668013196215e-07	2.08666666666667	19.8	2581060.2	0.873244748977754	0.621017799994972	0.0983606557377049	0.780269115327821	0.361508041801666	1.13310421103334	6.22787112276387	1.45219667006464	0.587469689551412	0.4	Arachis duranensis	NA	3.65306301970427	3	0.0273948323316574	3302	9.05531745454545	NA
Arachis_duranensis_Bertioli2016	A8	TRUE	126.3	130.810714285714	129.860714285714	49168935	57	0.451306413301663	1.15926855035603e-06	1.78035714285714	16.5	877387.392857143	2.64111301751226	0.594491249692724	0	2.04305873673025	1.73743960918248	1.70575761972968	7.04075864517593	0.834903857174271	0.447025043647514	0.4	Arachis duranensis	NA	0.1610421495945	16	NA	3547	20.6112202272727	NA
Arachis_duranensis_Bertioli2016	A10	TRUE	78.9	82.5697674418605	82.3651162790698	108723038	44	0.55766793409379	4.04698036491585e-07	1.73255813953488	11.6	2480452.62790698	0.757568200762287	0.672194838917244	0.0277777777777778	0.820586533040614	0.0852130108644052	1.35290815966996	5.77690516365088	1.64870870431772	0.750108917052785	0.35	Arachis duranensis	NA	6.94491424136751	1	0.0589735930306898	4039	40.0847564343434	NA
Arachis_hypogaea_Zhuang2019	A01	TRUE	132.00567822054	132.768716822971	132.768716822971	91761493	347	2.62867480155113	3.78154265646048e-06	0.381519301215434	11.5638740145	265112.210982659	1.4468892395089	0.994790907398175	0	1.46157284703765	0.328584053849139	2.03663875577456	7.23568503111157	1.39345689125415	0.66400706532599	0.2	Arachis hypogaea	NA	3.29299749816213	1	0.0345474089619122	3323	26.4161873787879	NA
Arachis_hypogaea_Zhuang2019	A02	TRUE	150.12169125895	150.658799277766	150.658799277766	90592076	560	3.73030702827639	6.18155609989554e-06	0.268554009407782	3.35834578705	161849.982110912	1.66304610656859	0.999424697205449	0	1.65934239747499	1.62194730645076	0.533583631517225	2.4782455871512	0.321563308651172	0.180353793381414	0.2	Arachis hypogaea	NA	0.367784767101063	13	0.00145880679435965	2653	8.69317901010101	NA
Arachis_hypogaea_Zhuang2019	A03	TRUE	156.82841330235	157.420218635566	157.420218635566	113840333	531	3.38586604824142	4.66442767696402e-06	0.295902666608208	3.1607362584	213350.273584906	1.38281586575793	0.998854291546328	0	1.38664499298674	1.09682865760792	0.985437590116371	3.01359918502399	0.710663215964027	0.405010921462974	0.2	Arachis hypogaea	NA	0.712250726288837	11	0.00851509752048616	4675	79.9182135707071	NA
Arachis_hypogaea_Zhuang2019	A04	TRUE	157.4816628594	157.962522898665	157.962522898665	111068767	656	4.16556434627998	5.90625085448189e-06	0.240430019632672	8.4214671024	169258.540458015	1.42220470403408	0.999759100010652	0	1.41036571679489	1.21755180843032	1.16637288080949	5.09399380715768	0.827000307026829	0.434826740161384	0.2	Arachis hypogaea	NA	2.89012920412348	1	0.00675142413330184	2785	29.730528540404	NA
Arachis_hypogaea_Zhuang2019	A05	TRUE	153.0999521766	153.589089404001	153.589089404001	103696422	627	4.09536378742143	6.04649599192535e-06	0.244568613700639	3.63643727265	165369.876996805	1.48114164830105	0.999722787881714	0	1.48248045798793	1.38226802112347	0.730310496006119	2.71125844148677	0.492627401643674	0.274705531631014	0.2	Arachis hypogaea	NA	1.1117411402066	10	0.00309491443610061	3734	53.9430882121212	NA
Arachis_hypogaea_Zhuang2019	A07	TRUE	170.2305958339	170.9565258801	170.9565258801	74929054	470	2.76096078791027	6.27260021192847e-06	0.3629650231	4.9043587878	159722.32196162	2.28157859673632	0.996001842207487	0	2.26209589376626	1.80949817487978	1.78773462643405	7.20812301377921	0.790300106799438	0.438965961091412	0.2	Arachis hypogaea	NA	2.55822928497338	1	0.0108669342203201	2459	36.7076678686869	NA
Arachis_hypogaea_Zhuang2019	A08	TRUE	126.2441775117	127.172443522815	127.172443522815	46813332	273	2.16247596824574	5.83167205444808e-06	0.464133005557721	2.8547166154	170434.389705882	2.71658602559663	0.986765813837325	0	2.73181088489664	2.76982815730462	0.5327077273738	4.06526922328593	0.195001685628746	0.105765925222443	0.2	Arachis hypogaea	NA	1.20910589606117	1	0.000379825941694622	3010	32.3910428484849	NA
Arachis_hypogaea_Zhuang2019	A09	TRUE	143.13008710715	143.769060710307	143.769060710307	106697495	449	3.13700640497668	4.20815877636115e-06	0.31948680157846	6.9784395538	237742.470982143	1.34744551135251	0.998115349355899	0	1.34448120719386	0.920340362766805	1.11107118530825	5.02570506027656	0.826393987036253	0.438773684709588	0.2	Arachis hypogaea	NA	2.64056684586559	1	0.00890075654793336	3356	59.8152623484849	NA
Arachis_hypogaea_Zhuang2019	A10	TRUE	181.2101414526	181.809183242526	181.809183242526	94097961	606	3.34418369271299	6.44009703887207e-06	0.299520894962975	5.7067602914	155436.558677686	1.93212670402631	0.99875468576762	0	1.92091318817722	1.24366466198421	1.55978945413063	6.32104578371372	0.812004136225823	0.423561169828218	0.2	Arachis hypogaea	NA	2.11773045487844	1	0.0071831186768764	3067	47.0489805	NA
Arachis_hypogaea_Zhuang2019	B01	TRUE	154.971522315	155.503157039923	155.503157039923	123299098	584	3.76843429861225	4.7364498968192e-06	0.265817362461406	5.72153043	211062.608919383	1.26118649335069	0.999466935750134	0	1.25299277226181	0.729986801737361	1.57916017650905	6.93400053421186	1.26031068292475	0.588938244455278	0.2	Arachis hypogaea	NA	3.45021530563815	1	0.0167171602748326	3443	81.576675949495	NA
Arachis_hypogaea_Zhuang2019	B02	TRUE	191.51313598321	191.933581945852	191.933581945852	109896445	912	4.76207543319616	8.29872158285011e-06	0.210222981320757	4.188815466275	120473.612513721	1.74649491114887	0.999926934252129	0	1.73349946502636	1.22771757301556	1.43855628175345	5.93228420246144	0.829856778601069	0.435215928172966	0.2	Arachis hypogaea	NA	2.00636784366821	1	0.00806145487431561	3647	68.2690037121212	NA
Arachis_hypogaea_Zhuang2019	B03	TRUE	182.0261795509	182.491125092537	182.491125092537	136674972	784	4.30707276246915	5.73623677054787e-06	0.232472770818519	9.0415803514	174038.593869732	1.33521977302865	0.999818480146567	0	1.3285264050115	0.775256590800048	1.47390575394501	5.7552339793304	1.10942902480907	0.526094887811212	0.2	Arachis hypogaea	NA	2.47334924368862	1	0.012828867366108	5761	75.2402623636364	NA
Arachis_hypogaea_Zhuang2019	B04	TRUE	198.955933776	199.316035013604	199.316035013604	135128489	1106	5.55901992470966	8.18480254004764e-06	0.18005061880181	3.107089755	122209.924886878	1.47501120221661	0.999985157855898	0	1.45889543121517	1.09584302267016	1.12335894669341	3.95717221529043	0.770006487550463	0.432371359785293	0.2	Arachis hypogaea	NA	2.29063451817935	1	0.010592044257759	4278	59.3746391060606	NA
Arachis_hypogaea_Zhuang2019	B06	TRUE	128.9386899485	129.713096494737	129.713096494737	112904600	334	2.5903784204214	2.9582497081607e-06	0.387203273118619	15.34592674695	338486.486486487	1.1488734426652	0.994376251479237	0	1.14815919318466	1.09572661784494	0.736277388654868	2.64402281834021	0.641267685722783	0.365080037749181	0.2	Arachis hypogaea	NA	1.59289747760341	1	0.00658916184450413	4432	82.6826616161616	NA
Arachis_hypogaea_Zhuang2019	B07	TRUE	184.1041034153	184.38997935228	184.38997935228	137297346	1289	7.00147349291986	9.38838249648322e-06	0.14293796849014	3.7233022567	106582.449534161	1.34299740471517	0.999999170918177	0	1.34587514914552	1.32848765100235	0.828271763392656	2.71376825201793	0.615415006301672	0.353435713586407	0.2	Arachis hypogaea	NA	2.16210939148539	1	0.00767335908165021	3279	71.4223567575758	NA
Arachis_hypogaea_Zhuang2019	B08	TRUE	170.04626053445	170.326402644062	170.326402644062	127520165	1215	7.14511448932363	9.52790486116451e-06	0.140071054805972	4.403992632	104849.837726524	1.33568210677944	0.999999377939809	0	1.32065894057626	0.662702716731188	1.360413692505	6.13570612265968	1.03010220936482	0.469958879771696	0.2	Arachis hypogaea	NA	0.881559391686896	7	0.00815480513301244	3303	40.5745979545455	NA
Arachis_hypogaea_Zhuang2019	B09	TRUE	198.21537410705	198.483051857363	198.483051857363	155825107	1482	7.4767157021817	9.51066248906859e-06	0.133838875156685	8.57795456787	104919.243079001	1.2737552739647	0.999999679515334	0	1.27851154162702	0.667242713744764	1.29579950612899	5.17286425645251	1.01352194637208	0.518781485851889	0.2	Arachis hypogaea	NA	3.10840497912412	1	0.0145763527644309	4132	70.0425986010101	NA
Arachis_hypogaea_Zhuang2019	B10	TRUE	152.377465776865	152.731009780988	152.731009780988	138317932	863	5.66356708716852	6.2392488632638e-06	0.176772002061328	2.617928992075	160252.025522042	1.10420252509984	0.999987958290876	0	1.10036780094908	0.745743607060288	0.973979588324683	4.02436442915223	0.885140029983257	0.468971891121043	0.2	Arachis hypogaea	NA	2.32874834688275	1	0.0116115834245976	3319	69.158966	NA
Boechera_stricta_Lee2020	1	TRUE	42.283	42.6413305084746	42.6146101694915	24017063	237	5.60508951588109	9.86798427434695e-06	0.179165254237288	3.153	101555.347457627	1.77434727008425	0.999986464287998	0	1.66705668538155	1.44599510869355	1.49339592473219	5.18396979722584	0.895827921046601	0.504341359997383	0.2	Boechera stricta	0.33	4.16353712915673	1	0.0125216243771827	NA	9.09737234848485	7.92563079
Boechera_stricta_Lee2020	2	TRUE	68.951	69.4636468401487	69.4611858736059	27063608	270	3.91582428101115	9.97649685141759e-06	0.256323420074349	2.71	100422.330855019	2.56659000801393	0.999603029489949	0	2.5160233096629	2.46652800947713	1.43406677615062	5.16722290590898	0.56997356528575	0.32379072728861	0.2	Boechera stricta	0.36	1.41743900691785	6	0.00561415177363013	NA	14.3519133333333	17.32070912
Boechera_stricta_Lee2020	3	TRUE	79.494	80.0169868421053	80.0151710526316	30680900	305	3.83676755478401	9.9410382355146e-06	0.261493421052632	1.713	100759.536184211	2.60797991755886	0.999535028809201	0	2.57028930914993	2.51828991963116	0.919797170360547	4.70101752979472	0.357857447053208	0.201965904045011	0.2	Boechera stricta	0.4	1.07349709082311	5	0.00157663111420041	NA	17.5098065656566	18.40854
Boechera_stricta_Lee2020	4	TRUE	76.917	77.6068385650224	77.6068385650224	22993442	224	2.91223006617523	9.74190814928883e-06	0.344919282511211	2.654	103109.605381166	3.37517273686221	0.997045601293804	0	3.48175030416595	3.36658852504158	1.47984922681446	7.42578193558608	0.425030257064617	0.230638468384242	0.2	Boechera stricta	0.31	0.893587258778971	16	0.00115278607192643	NA	7.31609518181818	7.12796702
Boechera_stricta_Lee2020	5	TRUE	82.917	83.5050638297872	83.4995815602837	28962407	283	3.41305160582269	9.77128731047803e-06	0.294031914893617	5.472	102526.262411348	2.88303322166157	0.998914921790008	0	2.83006358101902	2.91045927753173	1.02376768013444	5.70004621529034	0.361747236705478	0.198932230512014	0.2	Boechera stricta	0.15	1.09452613987038	20	0.00140804751427893	NA	5.70471653030303	4.34436105
Boechera_stricta_Lee2020	6	TRUE	76.749	77.3416563706564	77.3416563706564	25760423	260	3.38766628881158	1.00930019666214e-05	0.296328185328185	2.818	99461.0926640927	3.00234419173382	0.998858409230737	0	3.01693355382754	2.7434353724417	1.16810307492271	5.54638711914121	0.387182234570846	0.219663579669557	0.2	Boechera stricta	0.41	1.24164750450891	4	0.00173558367975213	NA	10.5383548636364	10.56177343
Boechera_stricta_Lee2020	7	TRUE	72.326	72.891046875	72.8893203125	26201018	257	3.55335563974228	9.80877918560264e-06	0.2825234375	2.847	102347.7265625	2.78192703476254	0.99918041404609	0	2.80344598259006	2.98109125265168	0.90324172268361	4.26139731805045	0.322189807933848	0.183079548354897	0.2	Boechera stricta	0.2	0.673301642334047	5	0.000822076275326617	NA	9.39531453535353	5.2402036
Brachypodium_distachyon_Huo2011	3	TRUE	350.905	356.103592592593	356.103592592593	59565636	136	0.387569285134153	2.28319563313317e-06	2.5992962962963	21.4	435831.785185185	5.97833946728266	0.539360054424629	0.0072992700729927	5.98620042435234	4.93129762681895	4.34856874157011	17.5907320221587	0.726432199610254	0.39732405127782	0.2	Brachypodium distachyon	0.47	2.90344374834549	1	0.00479809502704798	7573	24.9694332727273	27.99584892
Brachypodium_distachyon_Huo2011	4	TRUE	267.023	271.834225225225	271.834225225225	48178278	112	0.41943952393614	2.32469911025047e-06	2.40561261261261	14.938	429731.045045045	5.64225697782775	0.567805278410345	0	5.62084503064315	3.96470791285721	4.96300216214488	18.1731697858834	0.882963706540225	0.475706739659998	0.2	Brachypodium distachyon	0.36	3.24657531523849	1	0.010081824766395	5859	23.1158404545455	17.34418008
Brachypodium_distachyon_Huo2011	5	TRUE	182.702	188.3236	188.3236	28356501	66	0.361243992950269	2.32750860199571e-06	2.8108	16.941	426449.369230769	6.64128483270908	0.514457271522329	0	6.54603068026148	3.74245241438129	6.30130928891621	21.0497930329097	0.962615300279115	0.525419332895133	0.3	Brachypodium distachyon	0.31	1.66667969669402	4	0.0138040279938157	3324	5.0125128030303	8.79051531
Brassica_napus_Yang2017	A01	TRUE	118.52	121.244597701149	121.229862068966	22206303	88	0.742490718866014	3.96283883904493e-06	1.35493103448276	7.14500000000001	250084.183908046	5.4592546120336	0.773493454887366	0.0112359550561798	5.35822672442548	5.01131777216192	3.34924398586256	15.863908728865	0.625065746209476	0.336805353040297	0.3	Brassica napus	0.45	1.19206811336006	6	0.00843743336991183	4988	12.4489880454545	12.21346665
Brassica_napus_Yang2017	A02	TRUE	100.523	103.930559322034	100.866796610169	20766589	60	0.596878326353173	2.88925639160095e-06	1.70377966101695	26.674	351012.86440678	4.85716728010409	0.696919445601732	0.178082191780822	4.78933374383184	3.35695521462858	4.76820061125506	23.6712394225696	0.995587458776704	0.446791404285875	0.3	Brassica napus	0.44	1.42636991499867	4	0.0116521240888228	4895	14.788328530303	11.62928984
Brassica_napus_Yang2017	A03	TRUE	153.188	155.9235	155.9235	28671864	113	0.737655691046296	3.9411459261944e-06	1.36775	14.603	253719.598214286	5.43820590108826	0.77129249946364	0	5.37294262630369	4.7884930426108	2.52671731695542	12.7522492126447	0.470266945451021	0.254734101180688	0.2	Brassica napus	0.31	1.46281328680892	7	0.00180660674126229	7510	7.96440666666667	8.88827784
Brassica_napus_Yang2017	A04	TRUE	71.034	73.1865454545455	73.1865454545455	19140278	67	0.94321029366219	3.50047162324393e-06	1.07627272727273	4.74799999999999	286009.984848485	3.82369291890878	0.848386473879677	0	3.72749521978663	3.6441417730845	1.87804587613954	9.03213751166337	0.50383589123611	0.282352973452312	0.3	Brassica napus	0.34	1.75444529260886	1	0.00444474656077702	3084	6.09008845454545	6.50769452
Brassica_napus_Yang2017	A05	TRUE	124.166	128.304866666667	127.1679	20887884	61	0.491277805518419	2.9203532535895e-06	1.50095	14.586	331032.7	6.08811787733023	0.62564682577234	0.0161290322580645	4.47119354086406	4.53416588689214	3.90904206089791	16.7351373013768	0.874272613156103	0.472535471853845	0.35	Brassica napus	0.44	NA	11	NA	4185	11.4988856363636	11.69721504
Brassica_napus_Yang2017	A07	TRUE	55.099	57.4436382978723	57.4436382978723	21797132	48	0.871159186192127	2.20212457308604e-06	1.17231914893617	3.556	447707.978723404	2.63537598881689	0.824886049699022	0.272727272727273	2.60608865497371	2.20737287093223	1.73327422449113	6.40138532420521	0.665086439474414	0.378830941789943	0.3	Brassica napus	0.3	0	20	0.00900103205959822	3940	2.09164397979798	6.5391396
Brassica_napus_Yang2017	A09	TRUE	125.375	129.355158730159	129.355158730159	33421799	64	0.510468594217348	1.91491786543268e-06	1.99007936507937	15.249	528641.920634921	3.87038288184782	0.639742846924657	0.0857142857142857	3.70981025205754	3.65331011772146	1.90691875357551	7.76802574920148	0.514020562781586	0.288842448778993	0.3	Brassica napus	0.42	1.89581811801684	1	0.00344987575924265	6503	15.6981177121212	14.03715558
Brassica_napus_Yang2017	A10	TRUE	74.613	77.1858620689655	77.1858620689655	17363998	59	0.790746920777881	3.39783499168797e-06	1.28643103448276	6.546	294384.344827586	4.4451664915514	0.794332366247502	0	4.36115554954064	3.50438824143741	3.91335166395098	17.3608982025843	0.897319900539473	0.482125324095364	0.3	Brassica napus	0.4	2.56918157908593	1	0.0159466835620252	3517	4.64793885858586	6.9455992
Brassica_napus_Yang2017	C02	TRUE	148.428	154.136769230769	153.918846153846	45458273	53	0.35707548440995	1.16590438884469e-06	2.74542307692308	31.912	830168.288461538	3.38593694823924	0.510392372479752	0	3.00179993941767	1.256116631221	3.24935828191452	13.3746896983064	1.08246996718405	0.552427325205954	0.3	Brassica napus	0.4	NA	3	0.0141670006219229	5914	28.2392301969697	27.2749638
Brassica_napus_Yang2017	C03	TRUE	164.916	169.255894736842	169.255894736842	60449556	77	0.466904363433506	1.27378933932947e-06	2.16994736842105	13.961	795207.315789474	2.7999526536943	0.606946178798315	0.0128205128205128	2.75523648698351	2.35489482652833	1.86309584747964	9.1289152499163	0.676201791128063	0.353016927147848	0.3	Brassica napus	0.34	2.29547854136376	1	0.00618280243845488	8717	41.2156063636364	39.89670696
Brassica_napus_Yang2017	C04	TRUE	130.124	135.226901960784	135.226901960784	48558309	52	0.399618825120654	1.07087748875275e-06	2.55145098039216	27.269	950354.274509804	2.78483548429959	0.55032835945236	0	2.70660826641982	1.60884180948403	2.3621650285386	8.59728390077511	0.872739900282345	0.46864411367919	0.3	Brassica napus	0.37	2.89782079096164	2	0.0224202215738029	6492	16.9218349545455	17.96657433
Brassica_napus_Yang2017	C08	TRUE	103.93	107.513793103448	107.513793103448	37159495	59	0.567689791205619	1.58775031792009e-06	1.79189655172414	12.483	617475	2.89330608781008	0.678699861696679	0.0166666666666667	2.85064189770067	2.94359936284064	2.1990448240247	10.0839071667963	0.771420930071382	0.430889155612476	0.3	Brassica napus	0.23	1.03612781476708	6	0.0102746102577005	5033	6.94394603535354	8.54668385
Brassica_rapa_CodyMarkelz2017	A01	TRUE	96.69687348	97.8906620414815	97.8906620414815	26761091	163	1.68568014801134	6.09093254082952e-06	0.596894280740741	2.88799999999999	144676.265432099	3.65794735504175	0.965657110940466	0.0411764705882353	4.14793365708276	4.23777688416259	3.00979127237661	10.0367523598113	0.72561220144813	0.414984409658409	0.2	Brassica rapa	0.39	2.151075386552	2	0.00661843489649753	4941	13.6508595505051	16.32426551
Brassica_rapa_CodyMarkelz2017	A03	TRUE	135.6153747	136.932028823301	136.932028823301	26868118	207	1.52637560791254	7.70429845514301e-06	0.658327061650485	4.5950852	129955.13592233	5.0964503290964	0.952771191161048	0	5.0372484593087	5.07231795975749	1.01794593579533	7.58342716543813	0.202083725672533	0.114502406219344	0.2	Brassica rapa	0.3	0.959203898082464	4	0.000528005956289225	6762	21.5759129393939	18.8076826
Brassica_rapa_CodyMarkelz2017	A04	TRUE	63.62104244	64.8934632888	64.8934632888	16182858	101	1.58752507231002	6.24117198581363e-06	0.6362104244	2.1466266	160903.12	4.0100125261434	0.958207991612005	0.00980392156862745	3.92347619837066	3.00479714917829	2.87731887199226	11.4026413890207	0.733359583827005	0.398708971125551	0.2	Brassica rapa	0.3	2.04421301420834	4	0.00645690451393877	3321	6.12987045454545	4.8548574
Brassica_rapa_CodyMarkelz2017	A06	TRUE	93.89949382	95.0956657157962	95.0956657157962	25142452	158	1.68265017810295	6.28419217027838e-06	0.598085947898089	2.89880237	135889.993630573	3.78227492353555	0.965448363239195	0.00628930817610063	4.35910015429369	3.58811353850368	2.99296362762942	10.5176598703512	0.686601252940098	0.389491217593829	0.2	Brassica rapa	0.41	1.72624314308102	7	0.00611602878496659	4753	13.0791543232323	14.83404668
Brassica_rapa_CodyMarkelz2017	A07	TRUE	106.8519867	108.17114702963	108.17114702963	25674591	163	1.52547467795468	6.34868925467985e-06	0.659580164814815	3.085291648	158454.530864198	4.21315950192272	0.952686014748596	0	4.08166657492785	3.37827650058572	2.66826669308002	12.0098914475419	0.65371990683173	0.362154125249106	0.2	Brassica rapa	0.17	1.24610760601998	20	0.00705187343680297	4102	5.57579501515151	4.36468047
Brassica_rapa_CodyMarkelz2017	A09	TRUE	152.3155767	153.725906113889	153.725906113889	38755395	217	1.42467372478523	5.59922044401818e-06	0.705164706944444	14.51396812	179039.648148148	3.96656790916178	0.942117920470355	0.0136363636363636	3.94316842472529	3.36437417394804	2.50894029045735	9.1385890312643	0.636275203140008	0.364524915966612	0.2	Brassica rapa	0.37	1.65162306464716	6	0.0047339418559156	6600	18.2032915909091	14.33949615
Brassica_rapa_CodyMarkelz2017	A10	TRUE	104.0121531	105.243066154438	104.982347474793	16318399	170	1.63442439112435	1.04176886470296e-05	0.615456527218935	2.490878911	93323.5680473373	6.43337299662748	0.961949794056643	0	6.65143768352711	5.42153688263547	3.91763833896772	16.7777530263131	0.588991211429388	0.332785183850888	0.2	Brassica rapa	0.33	1.09977914168591	8	0.00480085055914115	3436	4.3680562979798	5.38507167
Camelina_sativa_King2019	1	TRUE	71	75.7333333333333	75.7333333333333	19796951	31	0.436619718309859	1.56589769808492e-06	2.36666666666667	13	615624.366666667	3.82550491403112	0.58240342188641	0.03125	3.74990639590291	4.46380085918319	1.44963775902323	5.21426752705625	0.386579718524996	0.210506191389172	0.5	Camelina sativa	0.3	1.47932705932306	20	0.00404571192917145	3576	13.2979519343434	13.8578657
Camelina_sativa_King2019	17	TRUE	91	96.0555555555556	93	34254131	37	0.406593406593407	1.08016168911131e-06	2.52777777777778	14	904284.972222222	2.71500100236085	0.556557356786509	0.13953488372093	3.10143789490475	3.03588459105839	2.24871671125002	12.8812567051469	0.725056179568954	0.386274241502818	0.35	Camelina sativa	0.31	NA	3	0.00499223309447076	5215	17.8190681464646	23.63535039
Camelina_sativa_King2019	3	TRUE	142	145.786666666667	145.786666666667	28385815	76	0.535211267605634	2.67739362072218e-06	1.89333333333333	10	366886.893333333	5.13589856999585	0.657136385142294	0	5.26957965482861	4.69355157864239	3.28393601269454	21.3079281888553	0.623187469931383	0.274773805746008	0.3	Camelina sativa	0.31	1.10068665994924	20	0.00326712783707978	4624	18.2070631565657	19.58621235
